clientId,timestamp,clientInitiatedDisconnect,disconnectReason,eventType,ipAddress,principalIdentifier,sessionIdentifier,versionNumber
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709402958620,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,9c58804e-4527-421e-9fdc-06ceb62e63d8,8
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709402971512,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,b2181340-bd45-4b21-9e74-8123e09014b1,10
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709403260626,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,b2181340-bd45-4b21-9e74-8123e09014b1,10
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709403261301,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,7673d1a3-7a90-4204-bd78-68d81d7e09d7,12
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709403367628,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,7673d1a3-7a90-4204-bd78-68d81d7e09d7,12
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709403391437,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,062c311b-ee26-4255-a0d4-d2fbb7e3493c,14
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709403497628,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,062c311b-ee26-4255-a0d4-d2fbb7e3493c,14
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709403511546,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,438acd14-6832-4568-93a6-dbc3b97970b6,16
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709403618632,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,438acd14-6832-4568-93a6-dbc3b97970b6,16
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709403631447,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,cdd1ebf2-127f-4825-aaeb-72fb5709e774,18
